CNY,SGD,0.2012,9:00,,,
SGD,CNY,4.8988,9:00,,,
CNY,USD,0.161,9:00,,,
USD,CNY,6.2035,9:00,,,
AUD,USD,0.992,9:00,,,
USD,AUD,1.0075,9:00,,,
SGD,AUD,0.8505,9:00,,,
AUD,SGD,1.1688,9:00,,,
USD,EUR,0.7233,9:00,,,
EUR,USD,1.3868,9:00,,,
SGD,EUR,0.5758,9:00,,,
EUR,SGD,1.7313,9:00,,,
SGD,USD,0.8224,9:30,,,
USD,SGD,1.2573,9:30,,,
CNY,SGD,0.2013,11:00,,,
SGD,CNY,4.8895,11:00,,,
CNY,USD,0.1611,11:00,,,
USD,CNY,6.1987,11:00,,,
AUD,USD,0.991,11:00,,,
USD,AUD,1.0125,11:00,,,
USD,EUR,0.7108,11:00,,,
EUR,USD,1.4025,11:00,,,
SGD,AUD,0.8501,11:30,,,
AUD,SGD,1.1704,11:30,,,
SGD,USD,0.8226,12:30,,,
USD,SGD,1.2568,12:30,,,
SGD,EUR,0.5759,12:00,,,
EUR,SGD,1.731,12:00,,,
